"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"276","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","7.7","California","2016-10-09"
"577","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","10.2","California","2016-10-09"
"852","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","8","California","2016-10-09"
"1148","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","8.6","California","2016-10-09"
"1262","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","5.7","California","2016-10-09"
"2610","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","11.7","California","2016-10-09"
"2887","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","8.2","California","2016-10-09"
"3619","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","4.7","California","2016-10-09"
"12371","ug/m3 LC","Napa","38.310942","-122.296189","Napa","9.8","California","2016-10-09"
"13312","ug/m3 LC","Sacramento--Roseville--Arden-Arcade","38.935577909","-121.100647797","Placer","4.9","California","2016-10-09"
"14784","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9447129","-116.830074","Riverside","7","California","2016-10-09"
"14873","ug/m3 LC","Riverside-San Bernardino-Ontario","33.9447129","-116.830074","Riverside","5.2","California","2016-10-09"
"19341","ug/m3 LC","San Diego-Carlsbad","32.8422420009","-116.768225","San Diego","1.1","California","2016-10-09"
"19602","ug/m3 LC","San Diego-Carlsbad","33.2170250009","-117.396158","San Diego","12.2","California","2016-10-09"
"20101","ug/m3 LC","San Diego-Carlsbad","32.7014920009","-117.149653","San Diego","9.8","California","2016-10-09"
"20379","ug/m3 LC","San Diego-Carlsbad","32.7252260006","-116.3652034267","San Diego","4.5","California","2016-10-09"
"20668","ug/m3 LC","San Diego-Carlsbad","32.5793610009","-116.929486","San Diego","12.2","California","2016-10-09"
"21147","ug/m3 LC","San Diego-Carlsbad","32.789561","-116.944222","San Diego","11.7","California","2016-10-09"
"21769","ug/m3 LC","San Francisco-Oakland-Hayward","37.765946","-122.399044","San Francisco","7.1","California","2016-10-09"
"23452","ug/m3 LC","San Francisco-Oakland-Hayward","37.482934","-122.20337","San Mateo","6.4","California","2016-10-09"
"24487","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","36.999571","-121.574684","Santa Clara","3","California","2016-10-09"
"24849","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.348497","-121.894898","Santa Clara","8.5","California","2016-10-09"
"25149","ug/m3 LC","San Jose-Sunnyvale-Santa Clara","37.338135","-121.849783","Santa Clara","10.1","California","2016-10-09"
"26054","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","10.4","California","2016-10-09"
"26338","ug/m3 LC","Vallejo-Fairfield","38.102507","-122.237976","Solano","9.3","California","2016-10-09"
"26635","ug/m3 LC","Santa Rosa","38.403765","-122.818294","Sonoma","4.2","California","2016-10-09"
"28537","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.210154","-118.870496","Ventura","5.3","California","2016-10-09"
"28836","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.404268","-118.809946","Ventura","6.4","California","2016-10-09"
"29129","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.448048","-119.231321","Ventura","8.3","California","2016-10-09"
"29425","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.276362","-118.683757","Ventura","4.6","California","2016-10-09"
"29726","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.276362","-118.683757","Ventura","3.4","California","2016-10-09"
"30018","ug/m3 LC","Oxnard-Thousand Oaks-Ventura","34.252378","-119.143176","Ventura","6.6","California","2016-10-09"
