"ROW_NR","UNITS","CBSA_NAME","SITE_LATITUDE","SITE_LONGITUDE","COUNTY","Daily.Mean.PM2.5.Concentration","STATE","Date"
"203","ug/m3 LC","San Francisco-Oakland-Hayward","37.687526","-121.784217","Alameda","7.5","California","2016-07-23"
"503","ug/m3 LC","San Francisco-Oakland-Hayward","37.743065","-122.169935","Alameda","9.7","California","2016-07-23"
"791","ug/m3 LC","San Francisco-Oakland-Hayward","37.814781","-122.282347","Alameda","12.4","California","2016-07-23"
"1074","ug/m3 LC","San Francisco-Oakland-Hayward","37.793624","-122.263376","Alameda","13.2","California","2016-07-23"
"1193","ug/m3 LC","San Francisco-Oakland-Hayward","37.8647670009","-122.302741","Alameda","12.3","California","2016-07-23"
"1471","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","4.6","California","2016-07-23"
"1667","ug/m3 LC","Chico","39.7615384387","-121.8416203644","Butte","4.6","California","2016-07-23"
"2120","ug/m3 LC","No Data","39.0212210009","-122.281803","Colusa","6.4","California","2016-07-23"
"2221","ug/m3 LC","No Data","39.2029348565","-122.0177275652","Colusa","5","California","2016-07-23"
"2551","ug/m3 LC","San Francisco-Oakland-Hayward","37.936013","-122.026154","Contra Costa","5.4","California","2016-07-23"
"2825","ug/m3 LC","San Francisco-Oakland-Hayward","37.9604","-122.356811","Contra Costa","13.8","California","2016-07-23"
"3108","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","7.3","California","2016-07-23"
"3163","ug/m3 LC","Fresno","36.7853217602","-119.7741738902","Fresno","7.1","California","2016-07-23"
"3557","ug/m3 LC","Fresno","36.9851185574","-119.6583393499","Fresno","6.3","California","2016-07-23"
"4055","ug/m3 LC","Fresno","36.6342250009","-120.382331","Fresno","3","California","2016-07-23"
"4132","ug/m3 LC","Fresno","36.8191105157","-119.7173558156","Fresno","7.1","California","2016-07-23"
"4405","ug/m3 LC","Fresno","36.72639","-119.733","Fresno","7.2","California","2016-07-23"
"5590","ug/m3 LC","Bishop","37.360684","-118.330783","Inyo","3","California","2016-07-23"
"5723","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","6","California","2016-07-23"
"5948","ug/m3 LC","Bishop","36.487823","-117.871036","Inyo","8.5","California","2016-07-23"
"6082","ug/m3 LC","Bakersfield","35.385574","-119.015009","Kern","10.5","California","2016-07-23"
"6287","ug/m3 LC","Bakersfield","35.0505513495","-118.147293621","Kern","11.2","California","2016-07-23"
"6531","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","10.1","California","2016-07-23"
"6590","ug/m3 LC","Bakersfield","35.3560923335","-119.0412094723","Kern","10","California","2016-07-23"
"6948","ug/m3 LC","Bakersfield","35.3229283838","-118.9991668221","Kern","12.9","California","2016-07-23"
"7282","ug/m3 LC","Hanford-Corcoran","36.1021801683","-119.566954018","Kings","10.8","California","2016-07-23"
"7493","ug/m3 LC","Hanford-Corcoran","36.3143988776","-119.6445696359","Kings","9.1","California","2016-07-23"
"7536","ug/m3 LC","Clearlake","39.0327","-122.92229","Lake","2.5","California","2016-07-23"
"10374","ug/m3 LC","Madera","36.953256","-120.034203","Madera","6.5","California","2016-07-23"
"10580","ug/m3 LC","San Francisco-Oakland-Hayward","37.97231","-122.520004","Marin","10.3","California","2016-07-23"
"11133","ug/m3 LC","Merced","37.281598109","-120.4349916881","Merced","7.9","California","2016-07-23"
"11269","ug/m3 LC","Merced","37.3085371814","-120.4809932542","Merced","6.5","California","2016-07-23"
"11487","ug/m3 LC","Salinas","36.4957666675","-121.7315711407","Monterey","7.2","California","2016-07-23"
"11754","ug/m3 LC","Salinas","36.2092860009","-121.126371","Monterey","8.5","California","2016-07-23"
"12037","ug/m3 LC","Salinas","36.6967601141","-121.6371823446","Monterey","11","California","2016-07-23"
"12298","ug/m3 LC","Napa","38.310942","-122.296189","Napa","13.8","California","2016-07-23"
"12426","ug/m3 LC","Truckee-Grass Valley","39.2343309819","-121.0565913564","Nevada","2.5","California","2016-07-23"
